1: kd> dqs win32kbase!gDxgkInterface L1000
ffffe25a`69d83570  00000000`00280888
ffffe25a`69d83dc8  fffff802`2fa72d20 dxgkrnl!DxgkOpenKeyedMutexFromNtHandle
ffffe25a`69d83dd0  fffff802`2fa271c0 dxgkrnl!DxgCreateLiveDumpWithWdLogs
ffffe25a`69d83dd8  fffff802`2faabe70 dxgkrnl!DxgkDispMgrReferenceObjectByHandle
ffffe25a`69d83de0  fffff802`2faabe50 dxgkrnl!DxgkDispMgrIsTargetOwned
ffffe25a`69d83de8  fffff802`2fab4af0 dxgkrnl!DxgkCheckDisplayState
ffffe25a`69d83df0  fffff802`2f978a80 dxgkrnl!DxgkSetKernelDisplayPolicy
ffffe25a`69d83df8  00000000`00000004
ffffe25a`69d83e00  ffffbb08`3a582930
ffffe25a`69d83e08  ffffbb08`3aabbe80
ffffe25a`69d83e10  00000000`00000000
ffffe25a`69d83e18  ffffe215`4061b2a0
ffffe25a`69d83e20  ffffe215`4060c8f0
ffffe25a`69d83e28  00000000`00000000
ffffe25a`69d83e30  00000000`00000020
ffffe25a`69d83e38  00000000`00000000
ffffe25a`69d83e40  ffffe215`40602a50
ffffe25a`69d83e48  ffffe25a`69d83eb0 win32kbase!gHidParseImageInfo
ffffe25a`69d83e50  fffff802`2ff31c60
ffffe25a`69d83e58  fffff802`2ff31490
ffffe25a`69d83e60  fffff802`2ff31a20
ffffe25a`69d83e68  fffff802`2ff330a0
ffffe25a`69d83e70  fffff802`2ff316f0
ffffe25a`69d83e78  fffff802`2ff312c0
